Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.188,0.25,-0.167,0.417
0.2,15,0.167,0.229,-0.083,0.5
0.3,15,0.167,0.229,0,0.583
0.4,15,0.146,0.208,0.083,0.669
0.5,15,0.146,0.188,0.167,0.833
0.6,15,0.125,0.167,0.333,0.835
0.7,15,0.104,0.146,0.417,0.917
0.8,15,0.083,0.125,0.583,1
0.1,20,0.156,0.203,-0.125,0.375
0.2,20,0.141,0.188,-0.063,0.438
0.3,20,0.141,0.188,0.063,0.563
0.4,20,0.125,0.172,0.125,0.688
0.5,20,0.125,0.156,0.25,0.75
0.6,20,0.109,0.141,0.313,0.875
0.7,20,0.094,0.125,0.438,0.938
0.8,20,0.078,0.109,0.563,1
0.1,25,0.138,0.175,-0.1,0.35
0.2,25,0.138,0.175,-0.05,0.45
0.3,25,0.125,0.163,0.05,0.55
0.4,25,0.113,0.15,0.15,0.65
0.5,25,0.1,0.138,0.25,0.75
0.6,25,0.088,0.125,0.35,0.8
0.7,25,0.075,0.113,0.5,0.9
0.8,25,0.063,0.088,0.6,0.95
0.1,30,0.125,0.167,-0.083,0.292
0.2,30,0.125,0.167,0,0.417
0.3,30,0.115,0.156,0.083,0.501
0.4,30,0.104,0.135,0.167,0.625
0.5,30,0.094,0.125,0.292,0.708
0.6,30,0.083,0.115,0.375,0.792
0.7,30,0.073,0.104,0.5,0.875
0.8,30,0.063,0.083,0.625,0.958
0.1,35,0.116,0.152,-0.071,0.286
0.2,35,0.107,0.143,0,0.393
0.3,35,0.107,0.134,0.107,0.5
0.4,35,0.098,0.134,0.214,0.607
0.5,35,0.089,0.116,0.286,0.714
0.6,35,0.08,0.107,0.393,0.786
0.7,35,0.071,0.098,0.5,0.857
0.8,35,0.054,0.071,0.643,0.929
0.1,40,0.109,0.148,-0.063,0.281
0.2,40,0.102,0.133,0.031,0.375
0.3,40,0.102,0.133,0.125,0.5
0.4,40,0.086,0.117,0.219,0.594
0.5,40,0.086,0.109,0.313,0.688
0.6,40,0.078,0.102,0.406,0.781
0.7,40,0.063,0.086,0.531,0.844
0.8,40,0.055,0.07,0.656,0.938
0.1,45,0.104,0.139,-0.056,0.278
0.2,45,0.097,0.132,0.028,0.389
0.3,45,0.09,0.118,0.111,0.472
0.4,45,0.083,0.111,0.222,0.583
0.5,45,0.076,0.104,0.333,0.667
0.6,45,0.069,0.09,0.417,0.778
0.7,45,0.063,0.083,0.528,0.861
0.8,45,0.049,0.069,0.667,0.917
0.1,50,0.1,0.131,-0.05,0.25
0.2,50,0.094,0.125,0.05,0.375
0.3,50,0.088,0.119,0.125,0.475
0.4,50,0.081,0.106,0.225,0.575
0.5,50,0.075,0.094,0.325,0.675
0.6,50,0.069,0.088,0.425,0.75
0.7,50,0.056,0.075,0.55,0.85
0.8,50,0.05,0.063,0.675,0.925
0.1,60,0.089,0.115,-0.042,0.25
0.2,60,0.083,0.109,0.042,0.354
0.3,60,0.078,0.104,0.146,0.458
0.4,60,0.073,0.094,0.25,0.563
0.5,60,0.068,0.089,0.354,0.646
0.6,60,0.063,0.078,0.458,0.75
0.7,60,0.052,0.068,0.563,0.833
0.8,60,0.042,0.057,0.687,0.917
0.1,70,0.085,0.107,-0.036,0.232
0.2,70,0.08,0.103,0.071,0.339
0.3,70,0.071,0.094,0.161,0.446
0.4,70,0.067,0.089,0.25,0.536
0.5,70,0.063,0.085,0.357,0.643
0.6,70,0.058,0.076,0.464,0.732
0.7,70,0.045,0.063,0.571,0.821
0.8,70,0.04,0.054,0.696,0.893
0.1,80,0.074,0.098,-0.016,0.234
0.2,80,0.074,0.098,0.078,0.328
0.3,80,0.066,0.09,0.172,0.438
0.4,80,0.063,0.082,0.266,0.531
0.5,80,0.055,0.078,0.359,0.625
0.6,80,0.051,0.07,0.469,0.719
0.7,80,0.043,0.059,0.578,0.813
0.8,80,0.035,0.051,0.688,0.891
0.1,90,0.073,0.094,-0.014,0.222
0.2,90,0.069,0.09,0.083,0.319
0.3,90,0.066,0.083,0.181,0.431
0.4,90,0.059,0.076,0.264,0.528
0.5,90,0.056,0.073,0.375,0.625
0.6,90,0.049,0.063,0.472,0.722
0.7,90,0.042,0.056,0.583,0.806
0.8,90,0.035,0.045,0.708,0.889
0.1,100,0.069,0.091,-0.013,0.213
0.2,100,0.066,0.084,0.088,0.313
0.3,100,0.063,0.078,0.175,0.425
0.4,100,0.056,0.072,0.275,0.525
0.5,100,0.05,0.069,0.375,0.625
0.6,100,0.047,0.059,0.488,0.713
0.7,100,0.041,0.053,0.6,0.8
0.8,100,0.034,0.044,0.713,0.888
0.1,150,0.056,0.073,0.017,0.192
0.2,150,0.052,0.069,0.108,0.292
0.3,150,0.05,0.067,0.2,0.4
0.4,150,0.046,0.058,0.3,0.5
0.5,150,0.042,0.054,0.4,0.592
0.6,150,0.038,0.05,0.508,0.692
0.7,150,0.033,0.044,0.617,0.783
0.8,150,0.027,0.035,0.725,0.867
0.1,200,0.048,0.063,0.025,0.181
0.2,200,0.047,0.059,0.119,0.281
0.3,200,0.044,0.056,0.219,0.388
0.4,200,0.039,0.052,0.313,0.488
0.5,200,0.036,0.047,0.413,0.581
0.6,200,0.031,0.042,0.519,0.681
0.7,200,0.028,0.038,0.625,0.775
0.8,200,0.023,0.03,0.738,0.863
0.1,250,0.043,0.056,0.03,0.17
0.2,250,0.041,0.054,0.125,0.275
0.3,250,0.039,0.049,0.225,0.375
0.4,250,0.036,0.048,0.32,0.48
0.5,250,0.033,0.041,0.425,0.575
0.6,250,0.029,0.039,0.525,0.67
0.7,250,0.025,0.033,0.635,0.765
0.8,250,0.02,0.028,0.74,0.855
0.1,300,0.041,0.053,0.038,0.163
0.2,300,0.038,0.049,0.133,0.267
0.3,300,0.035,0.046,0.229,0.371
0.4,300,0.033,0.043,0.329,0.471
0.5,300,0.029,0.039,0.429,0.567
0.6,300,0.026,0.034,0.533,0.667
0.7,300,0.023,0.03,0.642,0.758
0.8,300,0.019,0.024,0.746,0.85